,pub_date,year,subsection_name
0,2013-11-23T00:00:00Z,<map object at 0x000001E65716AD68>,Auto Racing
1,2013-11-23T00:00:00Z,<map object at 0x000001E65716AD68>,Auto Racing
2,2013-11-23T00:00:00Z,<map object at 0x000001E65716AD68>,Auto Racing
3,2013-11-23T00:00:00Z,<map object at 0x000001E65716AD68>,Auto Racing
4,2013-11-23T00:00:00Z,<map object at 0x000001E65716AD68>,Auto Racing
5,2013-11-22T00:00:00Z,<map object at 0x000001E65716AD68>,College Football
6,2013-11-22T00:00:00Z,<map object at 0x000001E65716AD68>,Pro Football
7,2013-11-22T00:00:00Z,<map object at 0x000001E65716AD68>,College Basketball
8,2013-11-22T00:00:00Z,<map object at 0x000001E65716AD68>,College Basketball
9,2013-11-22T00:00:00Z,<map object at 0x000001E65716AD68>,Pro Basketball
