,pub_date,year,subsection_name
0,2011-12-12T00:00:00Z,<map object at 0x000001E6574BF5C0>,Pro Football
1,2011-12-12T00:00:00Z,<map object at 0x000001E6574BF5C0>,
2,2011-12-12T00:00:00Z,<map object at 0x000001E6574BF5C0>,Pro Football
3,2011-12-12T00:00:00Z,<map object at 0x000001E6574BF5C0>,Hockey
4,2011-12-11T22:39:15Z,<map object at 0x000001E6574BF5C0>,Hockey
5,2011-12-11T22:39:15Z,<map object at 0x000001E6574BF5C0>,
6,2011-12-12T00:00:00Z,<map object at 0x000001E6574BF5C0>,Hockey
7,2011-12-12T00:00:00Z,<map object at 0x000001E6574BF5C0>,Baseball
8,2011-12-12T00:00:00Z,<map object at 0x000001E6574BF5C0>,Baseball
9,2011-12-12T00:00:00Z,<map object at 0x000001E6574BF5C0>,Pro Football
