,pub_date,year,subsection_name
0,2012-11-29T00:00:00Z,<map object at 0x000001E6555F10B8>,College Basketball
1,2012-11-29T00:00:00Z,<map object at 0x000001E6555F10B8>,Pro Football
2,2012-11-29T00:00:00Z,<map object at 0x000001E6555F10B8>,Hockey
3,2012-11-29T00:00:00Z,<map object at 0x000001E6555F10B8>,Pro Basketball
4,2012-11-29T00:00:00Z,<map object at 0x000001E6555F10B8>,Pro Football
5,2012-11-29T00:00:00Z,<map object at 0x000001E6555F10B8>,Pro Basketball
6,2012-11-28T22:27:03Z,<map object at 0x000001E6555F10B8>,N.B.A.
7,2012-11-29T00:00:00Z,<map object at 0x000001E6555F10B8>,Hockey
8,2012-11-28T22:02:34Z,<map object at 0x000001E6555F10B8>,Golf
9,2012-11-29T00:00:00Z,<map object at 0x000001E6555F10B8>,College Football
