KeyWords,Count,Rank
"Obama, Barack",22,1
Democratic Party,13,2
Midterm Elections (2014),12,3
Politics and Government,12,4
News,11,5
Republican Party,11,6
"Trump, Donald J",11,7
House of Representatives,6,8
United States Economy,6,9
"Clinton, Hillary Rodham",5,10
