,pub_date,year,subsection_name
0,2010-12-07T00:00:00Z,<map object at 0x000001E65746C748>,Hockey
1,2010-12-07T00:00:00Z,<map object at 0x000001E65746C748>,College Football
2,2010-12-07T00:00:00Z,<map object at 0x000001E65746C748>,College Basketball
3,2010-12-07T00:00:00Z,<map object at 0x000001E65746C748>,Pro Basketball
4,2010-12-07T00:00:00Z,<map object at 0x000001E65746C748>,Baseball
5,2010-12-07T00:00:00Z,<map object at 0x000001E65746C748>,Pro Basketball
6,2010-12-07T00:00:00Z,<map object at 0x000001E65746C748>,Baseball
7,2010-12-07T00:00:00Z,<map object at 0x000001E65746C748>,Hockey
8,2010-12-06T21:59:20Z,<map object at 0x000001E65746C748>,
9,2010-12-07T00:00:00Z,<map object at 0x000001E65746C748>,
