,MORE_VEHICLE_INVOLVED,ONE_VEHICLE_INVOLVED,THREE_VEHICLE_INVOLVED,TWO_VEHICLE_INVOLVED
,0,0,0,0
BRONX,45499,525,43537,9152
BROOKLYN,103349,787,98369,18162
MANHATTAN,83101,801,81077,14119
QUEENS,88235,515,83737,13477
STATEN ISLAND,13883,105,13124,2448
