,MANHATTAN,MONTH,NYC,PERCENTAGE
0,3178,Jan,13954,22.7748315895
1,2831,Feb,12225,23.1574642127
2,2838,Mar,12004,23.6421192936
3,2634,Apr,11964,22.0160481444
4,3195,May,12173,26.246611353
5,3479,Jun,13976,24.892673154
6,3540,Jul,14042,25.2100840336
7,3432,Aug,14182,24.1996897476
8,2956,spe,12496,23.6555697823
9,3055,Oct,12974,23.5470941884
10,2844,Nov,12235,23.2447895382
11,2744,Dec,12081,22.7133515437
