Ruhuna Royals,145.0
Saracens Sports Club,142.5
Saurashtra,144.0
Scotland,140.6
Sebastianites Cricket and Athletic Club,139.0
Services,109.0
Sialkot Region,163.0
Sialkot Stallions,169.0
Sinhalese Sports Club,158.25
Somerset,180.333333333
South Africa,159.518518519
South Australia,163.375
South Western Districts,133.6
Southern Rocks,122.0
Sri Lanka,161.529411765
Sri Lanka A,140.375
Sri Lanka Air Force Sports Club,143.0
Sri Lanka Army,128.5
Sri Lanka Ports Authority Cricket Club,117.0
St Kitts and Nevis Patriots,178.2
St Lucia Zouks,146.833333333
St Vincent,96.0
Stanford Superstars,140.0
State Bank of Pakistan,129.333333333
Sui Northern Gas Pipelines Limited,66.0
Sunrisers Hyderabad,149.176470588
Surrey,155.790697674
Sussex,157.333333333
Sydney Sixers,157.545454545
Sydney Thunder,160.75
Sylhet Royals,126.0
Sylhet Super Stars,112.0
Tamil Nadu,172.0
Tamil Union Cricket and Athletic Club,155.625
Tasmania,161.285714286
Titans,155.475
Trinbago Knight Riders,170.0
Trinidad & Tobago,141.2
Trinidad & Tobago Red Steel,153.818181818
Udarata Rulers,159.0
Uganda,124.0
United Arab Emirates,139.083333333
Uthura Rudras,156.0
Uthura Yellows,158.0
Uttar Pradesh,151.142857143
Uva Next,101.0
Victoria,167.416666667
Warriors,145.085714286
Warwickshire,157.925
Wayamba,131.75
Wayamba United,156.0
Wellington,166.352941176
West Indies,135.428571429
West Indies A,122.6
Western Australia,169.875
Western Province,151.5
Western Troopers,165.0
Worcestershire,168.058823529
Yorkshire,158.0
Zimbabwe,161.0
Zimbabwe XI,160.0
